step,event,fund,return_percent,label,amount_ars,pool_available,treasury_surplus,protected_withdrawable,mp_fee_in_cumulative,mp_fee_out_user_cumulative,iibb_cumulative,ganancias_cumulative,platform_cost_cumulative,notes
189,payout,Aggressive Alpha,40,Investment67,140000,3462000.00,71250.00,3390750.00,714000.00,506280.00,416500.00,895312.50,2025812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment117, Investment118, Investment119 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
190,subscription,Growth Partners,25,Investment120,100000,3562000.00,100000.00,3462000.00,720000.00,506280.00,420000.00,902500.00,2042500.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
191,subscription,Capital Shield,6,Investment121,100000,3662000.00,133500.00,3528500.00,726000.00,506280.00,423500.00,910875.00,2060375.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
192,surplus_payout,Growth Partners,25,Investment71,125000,3537000.00,8500.00,3528500.00,726000.00,513780.00,423500.00,910875.00,2060375.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
193,subscription,Balanced Growth,15,Investment122,100000,3637000.00,39750.00,3597250.00,732000.00,513780.00,427000.00,918687.50,2077687.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
194,payout,Aggressive Alpha,40,Investment68,140000,3497000.00,39750.00,3457250.00,732000.00,522180.00,427000.00,918687.50,2077687.50,"Cohort payout 140000 ARS (40%); unlocked by Investment120, Investment121, Investment122 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
195,subscription,Capital Shield,6,Investment123,100000,3597000.00,73250.00,3523750.00,738000.00,522180.00,430500.00,927062.50,2095562.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
196,subscription,Balanced Growth,15,Investment124,100000,3697000.00,104500.00,3592500.00,744000.00,522180.00,434000.00,934875.00,2112875.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
197,subscription,Stable Yield,10,Investment125,100000,3797000.00,137000.00,3660000.00,750000.00,522180.00,437500.00,943000.00,2130500.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
198,surplus_payout,Growth Partners,25,Investment72,125000,3672000.00,12000.00,3660000.00,750000.00,529680.00,437500.00,943000.00,2130500.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
199,payout,Stable Yield,10,Investment73,110000,3562000.00,12000.00,3550000.00,750000.00,536280.00,437500.00,943000.00,2130500.00,"Cohort payout 110000 ARS (10%); unlocked by Investment123, Investment124, Investment125 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
200,subscription,Capital Shield,6,Investment126,100000,3662000.00,45500.00,3616500.00,756000.00,536280.00,441000.00,951375.00,2148375.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
201,subscription,Growth Partners,25,Investment127,100000,3762000.00,74250.00,3687750.00,762000.00,536280.00,444500.00,958562.50,2165062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
202,subscription,Aggressive Alpha,40,Investment128,100000,3862000.00,99250.00,3762750.00,768000.00,536280.00,448000.00,964812.50,2180812.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
203,payout,Aggressive Alpha,40,Investment75,140000,3722000.00,99250.00,3622750.00,768000.00,544680.00,448000.00,964812.50,2180812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment126, Investment127, Investment128 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
204,subscription,Growth Partners,25,Investment129,100000,3822000.00,128000.00,3694000.00,774000.00,544680.00,451500.00,972000.00,2197500.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
205,surplus_payout,Balanced Growth,15,Investment76,115000,3707000.00,13000.00,3694000.00,774000.00,551580.00,451500.00,972000.00,2197500.00,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
206,subscription,Aggressive Alpha,40,Investment130,100000,3807000.00,38000.00,3769000.00,780000.00,551580.00,455000.00,978250.00,2213250.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
207,subscription,Growth Partners,25,Investment131,100000,3907000.00,66750.00,3840250.00,786000.00,551580.00,458500.00,985437.50,2229937.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
208,payout,Stable Yield,10,Investment77,110000,3797000.00,66750.00,3730250.00,786000.00,558180.00,458500.00,985437.50,2229937.50,"Cohort payout 110000 ARS (10%); unlocked by Investment129, Investment130, Investment131 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
209,subscription,Aggressive Alpha,40,Investment132,100000,3897000.00,91750.00,3805250.00,792000.00,558180.00,462000.00,991687.50,2245687.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
210,subscription,Capital Shield,6,Investment133,100000,3997000.00,125250.00,3871750.00,798000.00,558180.00,465500.00,1000062.50,2263562.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
211,surplus_payout,Stable Yield,10,Investment79,110000,3887000.00,15250.00,3871750.00,798000.00,564780.00,465500.00,1000062.50,2263562.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
212,subscription,Aggressive Alpha,40,Investment134,100000,3987000.00,40250.00,3946750.00,804000.00,564780.00,469000.00,1006312.50,2279312.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
213,payout,Aggressive Alpha,40,Investment78,140000,3847000.00,40250.00,3806750.00,804000.00,573180.00,469000.00,1006312.50,2279312.50,"Cohort payout 140000 ARS (40%); unlocked by Investment132, Investment133, Investment134 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
214,subscription,Stable Yield,10,Investment135,100000,3947000.00,72750.00,3874250.00,810000.00,573180.00,472500.00,1014437.50,2296937.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
215,subscription,Aggressive Alpha,40,Investment136,100000,4047000.00,97750.00,3949250.00,816000.00,573180.00,476000.00,1020687.50,2312687.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
216,subscription,Balanced Growth,15,Investment137,100000,4147000.00,129000.00,4018000.00,822000.00,573180.00,479500.00,1028500.00,2330000.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
217,surplus_payout,Capital Shield,6,Investment80,106000,4041000.00,23000.00,4018000.00,822000.00,579540.00,479500.00,1028500.00,2330000.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
218,payout,Balanced Growth,15,Investment81,115000,3926000.00,23000.00,3903000.00,822000.00,586440.00,479500.00,1028500.00,2330000.00,"Cohort payout 115000 ARS (15%); unlocked by Investment135, Investment136, Investment137 (3 unlockers); user MP out ~6900 ARS (6%, absorbed by user)"
219,subscription,Growth Partners,25,Investment138,100000,4026000.00,51750.00,3974250.00,828000.00,586440.00,483000.00,1035687.50,2346687.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
220,subscription,Capital Shield,6,Investment139,100000,4126000.00,85250.00,4040750.00,834000.00,586440.00,486500.00,1044062.50,2364562.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
221,subscription,Stable Yield,10,Investment140,100000,4226000.00,117750.00,4108250.00,840000.00,586440.00,490000.00,1052187.50,2382187.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
222,surplus_payout,Balanced Growth,15,Investment82,115000,4111000.00,2750.00,4108250.00,840000.00,593340.00,490000.00,1052187.50,2382187.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
223,payout,Stable Yield,10,Investment83,110000,4001000.00,2750.00,3998250.00,840000.00,599940.00,490000.00,1052187.50,2382187.50,"Cohort payout 110000 ARS (10%); unlocked by Investment138, Investment139, Investment140 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
224,subscription,Stable Yield,10,Investment141,100000,4101000.00,35250.00,4065750.00,846000.00,599940.00,493500.00,1060312.50,2399812.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
225,subscription,Balanced Growth,15,Investment142,100000,4201000.00,66500.00,4134500.00,852000.00,599940.00,497000.00,1068125.00,2417125.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
226,subscription,Growth Partners,25,Investment143,100000,4301000.00,95250.00,4205750.00,858000.00,599940.00,500500.00,1075312.50,2433812.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
227,payout,Capital Shield,6,Investment84,106000,4195000.00,95250.00,4099750.00,858000.00,606300.00,500500.00,1075312.50,2433812.50,"Cohort payout 106000 ARS (6%); unlocked by Investment141, Investment142, Investment143 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
228,subscription,Balanced Growth,15,Investment144,100000,4295000.00,126500.00,4168500.00,864000.00,606300.00,504000.00,1083125.00,2451125.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
229,surplus_payout,Capital Shield,6,Investment85,106000,4189000.00,20500.00,4168500.00,864000.00,612660.00,504000.00,1083125.00,2451125.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
230,subscription,Growth Partners,25,Investment145,100000,4289000.00,49250.00,4239750.00,870000.00,612660.00,507500.00,1090312.50,2467812.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
231,subscription,Stable Yield,10,Investment146,100000,4389000.00,81750.00,4307250.00,876000.00,612660.00,511000.00,1098437.50,2485437.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
232,payout,Capital Shield,6,Investment86,106000,4283000.00,81750.00,4201250.00,876000.00,619020.00,511000.00,1098437.50,2485437.50,"Cohort payout 106000 ARS (6%); unlocked by Investment144, Investment145, Investment146 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
233,subscription,Stable Yield,10,Investment147,100000,4383000.00,114250.00,4268750.00,882000.00,619020.00,514500.00,1106562.50,2503062.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
234,surplus_payout,Stable Yield,10,Investment87,110000,4273000.00,4250.00,4268750.00,882000.00,625620.00,514500.00,1106562.50,2503062.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
235,subscription,Balanced Growth,15,Investment148,100000,4373000.00,35500.00,4337500.00,888000.00,625620.00,518000.00,1114375.00,2520375.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
236,subscription,Balanced Growth,15,Investment149,100000,4473000.00,66750.00,4406250.00,894000.00,625620.00,521500.00,1122187.50,2537687.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
237,payout,Capital Shield,6,Investment88,106000,4367000.00,66750.00,4300250.00,894000.00,631980.00,521500.00,1122187.50,2537687.50,"Cohort payout 106000 ARS (6%); unlocked by Investment147, Investment148, Investment149 (3 unlockers); user MP out ~6360 ARS (6%, absorbed by user)"
238,subscription,Growth Partners,25,Investment150,100000,4467000.00,95500.00,4371500.00,900000.00,631980.00,525000.00,1129375.00,2554375.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
239,subscription,Growth Partners,25,Investment151,100000,4567000.00,124250.00,4442750.00,906000.00,631980.00,528500.00,1136562.50,2571062.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
240,surplus_payout,Stable Yield,10,Investment89,110000,4457000.00,14250.00,4442750.00,906000.00,638580.00,528500.00,1136562.50,2571062.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
241,subscription,Aggressive Alpha,40,Investment152,100000,4557000.00,39250.00,4517750.00,912000.00,638580.00,532000.00,1142812.50,2586812.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
242,payout,Aggressive Alpha,40,Investment90,140000,4417000.00,39250.00,4377750.00,912000.00,646980.00,532000.00,1142812.50,2586812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment150, Investment151, Investment152 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
243,subscription,Capital Shield,6,Investment153,100000,4517000.00,72750.00,4444250.00,918000.00,646980.00,535500.00,1151187.50,2604687.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
244,subscription,Stable Yield,10,Investment154,100000,4617000.00,105250.00,4511750.00,924000.00,646980.00,539000.00,1159312.50,2622312.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
245,subscription,Growth Partners,25,Investment155,100000,4717000.00,134000.00,4583000.00,930000.00,646980.00,542500.00,1166500.00,2639000.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
246,surplus_payout,Capital Shield,6,Investment91,106000,4611000.00,28000.00,4583000.00,930000.00,653340.00,542500.00,1166500.00,2639000.00,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
247,payout,Aggressive Alpha,40,Investment92,140000,4471000.00,28000.00,4443000.00,930000.00,661740.00,542500.00,1166500.00,2639000.00,"Cohort payout 140000 ARS (40%); unlocked by Investment153, Investment154, Investment155 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
248,subscription,Capital Shield,6,Investment156,100000,4571000.00,61500.00,4509500.00,936000.00,661740.00,546000.00,1174875.00,2656875.00,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
249,subscription,Stable Yield,10,Investment157,100000,4671000.00,94000.00,4577000.00,942000.00,661740.00,549500.00,1183000.00,2674500.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
250,subscription,Balanced Growth,15,Investment158,100000,4771000.00,125250.00,4645750.00,948000.00,661740.00,553000.00,1190812.50,2691812.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
251,surplus_payout,Balanced Growth,15,Investment95,115000,4656000.00,10250.00,4645750.00,948000.00,668640.00,553000.00,1190812.50,2691812.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
252,payout,Aggressive Alpha,40,Investment93,140000,4516000.00,10250.00,4505750.00,948000.00,677040.00,553000.00,1190812.50,2691812.50,"Cohort payout 140000 ARS (40%); unlocked by Investment156, Investment157, Investment158 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
253,subscription,Capital Shield,6,Investment159,100000,4616000.00,43750.00,4572250.00,954000.00,677040.00,556500.00,1199187.50,2709687.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
254,subscription,Stable Yield,10,Investment160,100000,4716000.00,76250.00,4639750.00,960000.00,677040.00,560000.00,1207312.50,2727312.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
255,subscription,Capital Shield,6,Investment161,100000,4816000.00,109750.00,4706250.00,966000.00,677040.00,563500.00,1215687.50,2745187.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
256,surplus_payout,Capital Shield,6,Investment98,106000,4710000.00,3750.00,4706250.00,966000.00,683400.00,563500.00,1215687.50,2745187.50,"Surplus ≥ 106000; pool and surplus −106000; user MP out ~6360 ARS (6%, absorbed by user)"
257,payout,Aggressive Alpha,40,Investment94,140000,4570000.00,3750.00,4566250.00,966000.00,691800.00,563500.00,1215687.50,2745187.50,"Cohort payout 140000 ARS (40%); unlocked by Investment159, Investment160, Investment161 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
258,subscription,Capital Shield,6,Investment162,100000,4670000.00,37250.00,4632750.00,972000.00,691800.00,567000.00,1224062.50,2763062.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
259,subscription,Balanced Growth,15,Investment163,100000,4770000.00,68500.00,4701500.00,978000.00,691800.00,570500.00,1231875.00,2780375.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
260,subscription,Stable Yield,10,Investment164,100000,4870000.00,101000.00,4769000.00,984000.00,691800.00,574000.00,1240000.00,2798000.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
261,payout,Stable Yield,10,Investment96,110000,4760000.00,101000.00,4659000.00,984000.00,698400.00,574000.00,1240000.00,2798000.00,"Cohort payout 110000 ARS (10%); unlocked by Investment162, Investment163, Investment164 (3 unlockers); user MP out ~6600 ARS (6%, absorbed by user)"
262,subscription,Aggressive Alpha,40,Investment165,100000,4860000.00,126000.00,4734000.00,990000.00,698400.00,577500.00,1246250.00,2813750.00,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
263,surplus_payout,Growth Partners,25,Investment97,125000,4735000.00,1000.00,4734000.00,990000.00,705900.00,577500.00,1246250.00,2813750.00,"Surplus ≥ 125000; pool and surplus −125000; user MP out ~7500 ARS (6%, absorbed by user)"
264,subscription,Stable Yield,10,Investment166,100000,4835000.00,33500.00,4801500.00,996000.00,705900.00,581000.00,1254375.00,2831375.00,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
265,subscription,Balanced Growth,15,Investment167,100000,4935000.00,64750.00,4870250.00,1002000.00,705900.00,584500.00,1262187.50,2848687.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
266,payout,Growth Partners,25,Investment99,125000,4810000.00,64750.00,4745250.00,1002000.00,713400.00,584500.00,1262187.50,2848687.50,"Cohort payout 125000 ARS (25%); unlocked by Investment165, Investment166, Investment167 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
267,subscription,Aggressive Alpha,40,Investment168,100000,4910000.00,89750.00,4820250.00,1008000.00,713400.00,588000.00,1268437.50,2864437.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
268,subscription,Aggressive Alpha,40,Investment169,100000,5010000.00,114750.00,4895250.00,1014000.00,713400.00,591500.00,1274687.50,2880187.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
269,surplus_payout,Stable Yield,10,Investment103,110000,4900000.00,4750.00,4895250.00,1014000.00,720000.00,591500.00,1274687.50,2880187.50,"Surplus ≥ 110000; pool and surplus −110000; user MP out ~6600 ARS (6%, absorbed by user)"
270,subscription,Aggressive Alpha,40,Investment170,100000,5000000.00,29750.00,4970250.00,1020000.00,720000.00,595000.00,1280937.50,2895937.50,"+25000 surplus on subscribe (Aggressive Alpha, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 6250 ARS (25% of surplus slice)"
271,payout,Growth Partners,25,Investment100,125000,4875000.00,29750.00,4845250.00,1020000.00,727500.00,595000.00,1280937.50,2895937.50,"Cohort payout 125000 ARS (25%); unlocked by Investment168, Investment169, Investment170 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
272,subscription,Capital Shield,6,Investment171,100000,4975000.00,63250.00,4911750.00,1026000.00,727500.00,598500.00,1289312.50,2913812.50,"+33500 surplus on subscribe (Capital Shield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8375 ARS (25% of surplus slice)"
273,subscription,Growth Partners,25,Investment172,100000,5075000.00,92000.00,4983000.00,1032000.00,727500.00,602000.00,1296500.00,2930500.00,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
274,subscription,Growth Partners,25,Investment173,100000,5175000.00,120750.00,5054250.00,1038000.00,727500.00,605500.00,1303687.50,2947187.50,"+28750 surplus on subscribe (Growth Partners, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7187.5 ARS (25% of surplus slice)"
275,surplus_payout,Balanced Growth,15,Investment101,115000,5060000.00,5750.00,5054250.00,1038000.00,734400.00,605500.00,1303687.50,2947187.50,"Surplus ≥ 115000; pool and surplus −115000; user MP out ~6900 ARS (6%, absorbed by user)"
276,payout,Growth Partners,25,Investment102,125000,4935000.00,5750.00,4929250.00,1038000.00,741900.00,605500.00,1303687.50,2947187.50,"Cohort payout 125000 ARS (25%); unlocked by Investment171, Investment172, Investment173 (3 unlockers); user MP out ~7500 ARS (6%, absorbed by user)"
277,subscription,Stable Yield,10,Investment174,100000,5035000.00,38250.00,4996750.00,1044000.00,741900.00,609000.00,1311812.50,2964812.50,"+32500 surplus on subscribe (Stable Yield, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 8125 ARS (25% of surplus slice)"
278,subscription,Balanced Growth,15,Investment175,100000,5135000.00,69500.00,5065500.00,1050000.00,741900.00,612500.00,1319625.00,2982125.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
279,subscription,Balanced Growth,15,Investment176,100000,5235000.00,100750.00,5134250.00,1056000.00,741900.00,616000.00,1327437.50,2999437.50,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
280,payout,Aggressive Alpha,40,Investment104,140000,5095000.00,100750.00,4994250.00,1056000.00,750300.00,616000.00,1327437.50,2999437.50,"Cohort payout 140000 ARS (40%); unlocked by Investment174, Investment175, Investment176 (3 unlockers); user MP out ~8400 ARS (6%, absorbed by user)"
281,subscription,Balanced Growth,15,Investment177,100000,5195000.00,132000.00,5063000.00,1062000.00,750300.00,619500.00,1335250.00,3016750.00,"+31250 surplus on subscribe (Balanced Growth, 3+1 cohort); platform MP in 6000 ARS (6%); IIBB est. 3500 ARS (3.5%); Ganancias est. 7812.5 ARS (25% of surplus slice)"
